university_name,university_address,university_email,post_index,registration_year
"Академія праці, соціальних відносин і туризму","вул. Кільцева дорога, 3-А",info@socosvita.kiev.ua,03187,1993
"Вищий навчальний заклад ""Київський економічний інститут менеджменту"" у формі Товариства з обмеженою відповідальністю","вул. Смоленська, 31-33",keimkiev@ukr.net,03005,1992
"Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі товариства з обмеженою відповідальністю","вул. Березняківська, 26-Б",rectorat@kumr.edu.ua,02152,1990
"Вищий навчальний заклад ""Університет економіки та права ""КРОК""","вул. Табірна, 30-32",krok@krok.edu.ua,03113,1992
"Відокремлений структурний підрозділ ""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""","вул. Освіти, 4",mail.iino@knuba.edu.ua,03037,1990
Воєнно-дипломатична академія імені Євгенія Березняка,"вул. Юрія Іллєнка, 81",vdamo@i.ua,04050,1994
"Державний заклад ""Державна екологічна академія післядипломної освіти та управління""","вул. Митрополита Василя Липківського, 35",www.dei2005@ukr.net; Bondar@deamp.onmicrosoft.com,03035,1992
Заклад вищої освіти «Відкритий міжнародний університет розвитку людини «Україна»,"вул. Львівська, 23",office@uu.edu.ua,03115,1998
"Заклад вищої освіти ""Київський інститут бізнесу та технологій"" товариство з обмеженою відповідальністю","пров. Зоряний, 1/5",info@kibit.edu.ua,04078,1992
"Заклад вищої освіти ""Міжнародний науково-технічний університет імені академіка Юрія Бугая""","вул. Володимирська, 7 корпус 2",istu@istu.edu.ua,04025,1993
"Заклад вищої освіти ""Міжнародний університет фінансів""","вул. Володимирська, 7, корпус 1",iuf@iuf.kpi.ua,01025,1993
Інститут підготовки кадрів державної служби зайнятості України,"вул. Нововокзальна, 17",ipk@ipk.edu.ua,03038,1993
Київська муніципальна академія естрадного та циркового мистецтв,"вул. Жилянська, 88",inbox@kmaecm.edu.ua,01032,1975
Київський державний фаховий хореографічний коледж,"вул. Парково-Сирецька, 4",kyiv.state.ballet.college@gmail.com,04112,1964
Київський національний університет культури і мистецтв,"вул. Євгена Коновальця, 36",knukim2021@ukr.net,01133,1968
Київський університет права Національної академії наук України,"вул. Трьохсвятительська, 4",kul@kul.kiev.ua,01001,1995
"Київський університет туризму, економіки і права","вул. Генерала Жмаченка, 26",info@kutep.ua,02192,1995
Маріупольський державний університет,"просп. Повітрофлотський, 31",info@mdu.in.ua,03037,1991
"Муніципальний заклад вищої освіти ""Київська Академія мистецтв""","просп. Героїв Сталінграда, 10",academy@kam.edu.ua,04210,1994
Національна академія керівних кадрів культури і мистецтв,"вул. Лаврська, 9, корпус 15",akademiya@nakkkim.edu.ua,01015,1970
Національна академія Служби безпеки України,"вул. Михайла Максимовича, 22",academy@ssu.gov.ua,03022,1992
