university_name,university_director_fio
Академія зовнішньої розвідки України,Кононенко Олександр Валентинович
"Академія праці, соціальних відносин і туризму",Сухомлин Віктор Борисович
"Вищий навчальний заклад Інститут дизайну, архітектури та журналістики (у формі товариства з обмеженою відповідальністю)",Бойко Світлана Станіславівна
"Вищий навчальний заклад ""Київська Академія перукарського мистецтва""",Лубянська Світлана Павлівна
"Вищий навчальний заклад ""Київський економічний інститут менеджменту"" у формі Товариства з обмеженою відповідальністю",Рожок Володимир Давидович
"Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі товариства з обмеженою відповідальністю",Черевань Ірина Вікторівна
"Вищий навчальний заклад ""Університет економіки та права ""КРОК""",Лаптєв Сергій Михайлович
"Відокремлений структурний підрозділ закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна"" Мелітопольський інститут екології та соціальних технологій",Лисенко Валерій Іванович
"Відокремлений структурний підрозділ закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна"" Новокаховський гуманітарний інститут",Севрюков Георгій Іванович
"Відокремлений структурний підрозділ ""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""",Петроченко Олексій Вячеславович
"Відокремлений структурний підрозділ ""Київський фаховий коледж міського господарства Таврійського національного університету імені В.І. Вернадського""",Романова Маргарита Іванівна
"Відокремлений структурний підрозділ ""Фаховий коледж інформаційних технологій та землевпорядкування Національного авіаційного університету""",Михайленко Ольга Вікторівна
Військовий інститут телекомунікацій та інформатизації імені Героїв Крут,Остапчук Віктор Миколайович
Воєнно-дипломатична академія імені Євгенія Березняка,Крисяк Павло Васильович
"Горлівський регіональний інститут вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",Бодунов Євген Рудольфович
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""",Лук`яненко Дмитро Григорович
"Державний заклад вищої освіти ""Університет менеджменту освіти""",Кириченко Микола Олексійович
"Державний заклад ""Державна екологічна академія післядипломної освіти та управління""",Бондар Олександр Іванович
Державний торговельно-економічний університет,Мазаракі Анатолій Антонович
Державний університет інфраструктури та технологій,Брайковська Надія Сергіївна
Державний університет телекомунікацій,Толубко Володимир Борисович
Донбаський інститут техніки та менеджменту Закладу вищої освіти «Міжнародний науково-технічний університет імені академіка Юрія Бугая»,Кухтик Тамара Василівна
"Дочірнє підприємство ""Київський хореографічний коледж""",Кайгородов Дмитро Євгенович
Заклад вищої освіти «Відкритий міжнародний університет розвитку людини «Україна»,Таланчук Петро Михайлович
"Заклад вищої освіти ""Київський інститут бізнесу та технологій"" товариство з обмеженою відповідальністю",Яковлева Олена Вячеславівна
"Заклад вищої освіти ""Міжнародний науково-технічний університет імені академіка Юрія Бугая""",Бугай Владислав Юрійович
"Заклад вищої освіти ""Міжнародний університет фінансів""",Смоляр Любов Гаврилівна
"Заклад фахової передвищої освіти ""Київський фаховий медичний коледж ім. П.І.Гаврося""",Підмогильна Лідія Григорівна
"Заклад фахової передвищої освіти ""Перший Київський фаховий медичний коледж""",Кузнєцов Володимир Георгійович
Інститут державного управління та наукових досліджень з цивільного захисту,Волянський Петро Борисович
