university_name,university_parent_id,university_edrpou,university_director_fio,university_email,university_phone,post_index,university_address,university_financing_type_name,registration_year
Академія зовнішньої розвідки України,,35333276,Кононенко Олександр Валентинович,head_nnc@szru.gov.ua,(044) 272-20-68,04053,"вул. Бульварно-Кудрявська, 11",Державна,2000
"Академія праці, соціальних відносин і туризму",,04641405,Сухомлин Віктор Борисович,info@socosvita.kiev.ua,+38(044) 522-49-40,03187,"вул. Кільцева дорога, 3-А",Приватна,1993
"Вищий навчальний заклад Інститут дизайну, архітектури та журналістики (у формі товариства з обмеженою відповідальністю)",,32594570,Бойко Світлана Станіславівна,fb.mail.ir@gmail.com,+380(44)-496-97-60,03039,"вул. Фрометівська, 2",Приватна,2000
"Вищий навчальний заклад ""Київська Академія перукарського мистецтва""",,26199252,Лубянська Світлана Павлівна,kapm@ukr.net,0444555672,03067,"вул. Виборзька, 86",Приватна,2002
"Вищий навчальний заклад ""Київський економічний інститут менеджменту"" у формі Товариства з обмеженою відповідальністю",,16459143,Рожок Володимир Давидович,keimkiev@ukr.net,(044) 456-88-02 (044) 456-72-64,03005,"вул. Смоленська, 31-33",Приватна,1992
"Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі товариства з обмеженою відповідальністю",,02030494,Черевань Ірина Вікторівна,rectorat@kumr.edu.ua,553-66-07,02152,"вул. Березняківська, 26-Б",Приватна,1990
"Вищий навчальний заклад ""Університет економіки та права ""КРОК""",,04635922,Лаптєв Сергій Михайлович,krok@krok.edu.ua,"(044) 455 56 66, 456 84 28",03113,"вул. Табірна, 30-32",Приватна,1992
"Відокремлений структурний підрозділ закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна"" Мелітопольський інститут екології та соціальних технологій",217,25763609,Лисенко Валерій Іванович,miest.melitopol@gmail.com,0619-44-44-27,04070,"вул. Хорива, 1 Г",Приватна,2005
"Відокремлений структурний підрозділ закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна"" Новокаховський гуманітарний інститут",217,25647582,Севрюков Георгій Іванович,ngi.vmurol@gmail.com,"(05549) 7-92-63 , (05549) 7-83-55",04070,"вул. Хорива, 1 Г",Приватна,1999
"Відокремлений структурний підрозділ ""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""",127,38639433,Петроченко Олексій Вячеславович,mail.iino@knuba.edu.ua,(044) 2752056,03037,"вул. Освіти, 4",Державна,1990
"Відокремлений структурний підрозділ ""Київський фаховий коледж міського господарства Таврійського національного університету імені В.І. Вернадського""",892,41120203,Романова Маргарита Іванівна,koledg@tnu.edu.ua,044 529 02 06,01042,"вул. Івана Кудрі, 33",Державна,2000
"Відокремлений структурний підрозділ ""Фаховий коледж інформаційних технологій та землевпорядкування Національного авіаційного університету""",183,02570575,Михайленко Ольга Вікторівна,kitz_nau@ukr.net,500-93-83,03113,"вул. Дружківська, 6",Державна,1944
Військовий інститут телекомунікацій та інформатизації імені Героїв Крут,,24978555,Остапчук Віктор Миколайович,viti@viti.edu.ua,(044) 2805967,01011,"вул. Московська, 45/1",Державна,2015
Воєнно-дипломатична академія імені Євгенія Березняка,,14303342,Крисяк Павло Васильович,vdamo@i.ua,(044) 483-15-64,04050,"вул. Юрія Іллєнка, 81",Державна,1994
"Горлівський регіональний інститут вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",217,25757773,Бодунов Євген Рудольфович,gri_gorlovka@mail.ru,06242-2-90-87; 0505889506; 0502231916,04071,"вул. Хорива, 1-Г",Приватна,1999
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""",,02070884,Лук`яненко Дмитро Григорович,documents@kneu.edu.ua,(044)4565055,03057,"просп. Перемоги, 54/1",Державна,1906
"Державний заклад вищої освіти ""Університет менеджменту освіти""",,35830447,Кириченко Микола Олексійович,rector@umo.edu.ua,"(044) 484 10 96, 481 38 00",04053,"вул. Січових Стрільців, 52-А",Державна,2007
"Державний заклад ""Державна екологічна академія післядипломної освіти та управління""",,19491035,Бондар Олександр Іванович,www.dei2005@ukr.net; Bondar@deamp.onmicrosoft.com,(044) 2063132; 2063187,03035,"вул. Митрополита Василя Липківського, 35",Державна,1992
Державний торговельно-економічний університет,,44470624,Мазаракі Анатолій Антонович,knute@knute.edu.ua,+380(44)-531-49-49,02156,"вул. Кіото, 19",Державна,2022
Державний університет інфраструктури та технологій,,41330257,Брайковська Надія Сергіївна,duit@duit.edu.ua,+044(46)-374-70,04071,"вул. Кирилівська, 9",Державна,2016
Державний університет телекомунікацій,,38855349,Толубко Володимир Борисович,info@vnz-mpu.com.ua,"(044) 2488593, 2488597",03680,"вул. Солом'янська, 7",Державна,2002
Донбаський інститут техніки та менеджменту Закладу вищої освіти «Міжнародний науково-технічний університет імені академіка Юрія Бугая»,195,36469787,Кухтик Тамара Василівна,ditm@i.ua,(06262) 41-47-30,02094,"пров. Магнітогорський, 3",Приватна,2009
"Дочірнє підприємство ""Київський хореографічний коледж""",,32343784,Кайгородов Дмитро Євгенович,college_horeograf@ukr.net,(044) 279-11-15,03058,"пров. Ніжинський, 4",Приватна,2000
Заклад вищої освіти «Відкритий міжнародний університет розвитку людини «Україна»,,30373644,Таланчук Петро Михайлович,office@uu.edu.ua,(044) 4287410; 4252322; 4225019; 4252926,03115,"вул. Львівська, 23",Приватна,1998
"Заклад вищої освіти ""Київський інститут бізнесу та технологій"" товариство з обмеженою відповідальністю",,23497925,Яковлева Олена Вячеславівна,info@kibit.edu.ua,(044) 355 02 42; 353 22 42,04078,"пров. Зоряний, 1/5",Приватна,1992
"Заклад вищої освіти ""Міжнародний науково-технічний університет імені академіка Юрія Бугая""",,19359117,Бугай Владислав Юрійович,istu@istu.edu.ua,+38 (044) 353-47-07,04025,"вул. Володимирська, 7 корпус 2",Приватна,1993
"Заклад вищої освіти ""Міжнародний університет фінансів""",,21547613,Смоляр Любов Гаврилівна,iuf@iuf.kpi.ua,"(044) 277 43 28 , 277 43 29, 241 73 29",01025,"вул. Володимирська, 7, корпус 1",Приватна,1993
"Заклад фахової передвищої освіти ""Київський фаховий медичний коледж ім. П.І.Гаврося""",,02010764,Підмогильна Лідія Григорівна,kmkgavr@ukr.net; kmkgavr@health.kiev.ua,(044) 408-44-68,03126,"вул. Академіка Білецького, 16",Комунальна,2001
"Заклад фахової передвищої освіти ""Перший Київський фаховий медичний коледж""",,05416113,Кузнєцов Володимир Георгійович,pkmk3d@ukr.net,"4006774, 044-48-39-515, 044-40-000-95",04050,"вул. Мельникова, 14",Комунальна,1842
Інститут державного управління та наукових досліджень з цивільного захисту,,43533709,Волянський Петро Борисович,iduscz.kyiv@dsns.gov.ua,+380(44)-430-82-17,04074,"вул. Вишгородська, 21",Державна,
Інститут підготовки кадрів державної служби зайнятості України,,16305291,Войтович Радмила Василівна,ipk@ipk.edu.ua,"(044)2390798,5361451,5361485",03038,"вул. Нововокзальна, 17",Державна,1993
Інститут Управління державної охорони України Київського національного університету імені Тараса Шевченка,41,37471084,Удовик Микола Станіславович,centr@do.gov.ua,0442812509,01601,"вул. Володимирська, 60",Державна,2010
Інститут управління і права Національного юридичного університету імені Ярослава Мудрого,274,39459127,Ткаченко Юрій Володимирович,dipk@ukr.net,(044) 4010770; 4578538,03057,"вул. Металістів, 17",Державна,2014
Київська державна академія декоративно-прикладного мистецтва і дизайну імені Михайла Бойчука,,21598958,Полтавець-Гуйда Оксана Вікторівна,i@kdidpmid.edu.ua,"(044) 2857716, 2853275, 2851638",01103,"вул. Михайла Бойчука, 32",Державна,1999
Київська муніципальна академія естрадного та циркового мистецтв,,02214952,Яковлев Олександр Вікторович,inbox@kmaecm.edu.ua,044 284 36 19,01032,"вул. Жилянська, 88",Комунальна,1975
Київська муніципальна академія музики ім. Р.М. Глієра,,02214923,Злотник Олександр Йосипович,kmamglier@glieracademy.org,"2883262, 2883238, 2883268",01032,"вул. Льва Толстого, 31",Комунальна,1868
Київська православна богословська академія,,16484112,Трофимлюк Олександр Миколайович,info@kpba.edu.ua,"(044)278 80 44, (044)278 89 53",01601,"вул. Трьохсвятительська, 6",Приватна,1615
Київський державний фаховий хореографічний коледж,,02214946,Кухар Катерина Ігорівна,kyiv.state.ballet.college@gmail.com,(044)4569470; 4560040; 4569055,04112,"вул. Парково-Сирецька, 4",Державна,1964
"Київський інститут інтелектуальної власності та права Національного університету ""Одеська юридична академія""",,43452672,Фелик Василь Іванович,kyiv.institute.law@gmail.com,+380(44)-563-80-64,02121,"вул. Харківське шосе, 210",Приватна,2020
КИЇВСЬКИЙ ІНСТИТУТ НАЦІОНАЛЬНОЇ ГВАРДІЇ УКРАЇНИ,,44633214,Клачко Володимир Миколайович,kingu@ngu.gov.ua,+380(98)-001-30-15,03179,"вул. Оборони Києва, 7",Державна,
Київський коледж економіки та менеджменту Міжгалузевої академії управління,223,38814606,Кузьмін Сергій Аркадійович,miu@miu.edu.ua,(044)242-38-66; 242-27-03,03151,"вул. Ушинського, 15",Державна,2013
"""Київський кооперативний інститут бізнесу і права""",,01788243,Охріменко Ігор Віталійович,rektor@kkibp.edu.ua,"(044) 257 70 91 , 257 03 07, 258 20 29",03022,"вул. Ломоносова, 18",Приватна,2010
Київський навчально-консультаційний пункт Національного університету кораблебудування імені адмірала Макарова,105,26199306,,,,01010,"вул. Аніщенка, 6",Державна,2000
Київський навчально-науковий центр Одеської національної академії зв'язку ім. О.С. Попова,68,33890043,,,,01032,"вул. Шевченка, 56",Державна,2000
Київський національний лінгвістичний університет,,02125289,Васько Роман Володимирович,knlu@knlu.edu.ua,"2873372, 2274035, 2276788",03150,"вул. Велика Васильківська, 73",Державна,1948
Київський національний університет будівництва і архітектури,,02070909,Куліков Петро Мусійович,Knuba_admin@ukr.net,+38 (044) 248-49-05; 248-49-01,03680,"просп. Повітрофлотський, 31",Державна,1930
Київський національний університет імені Тараса Шевченка,,02070944,Бугров Володимир Анатолійович,"stationery@univ.kiev.ua, office.chief@univ.net.ua","(044) 239-32-20, 289-86-91, 234-89-04",01601,"вул. Володимирська, 60",Державна,1834
Київський національний університет культури і мистецтв,,02214159,Поплавський Михайло Михайлович,knukim2021@ukr.net,(044) 529-93-13,01133,"вул. Євгена Коновальця, 36",Державна,1968
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",,02214171,Кочарян Інна Сергіївна,rector@knutkt.edu.ua,"(044) 272 10 32, 272-33-39",01054,"вул. Ярославів Вал, 40",Державна,1904
Київський національний університет технологій та дизайну,,02070890,Грищенко Іван Михайлович,knutd@knutd.edu.ua,(044) 2800512,01011,"вул. Немировича-Данченка, 2",Державна,1930
Київський університет імені Бориса Грінченка,,02136554,Огнев`юк Віктор Олександрович,kubg@kubg.edu.ua,"(044) 2721902, 2721920",04053,"вул. Бульварно-Кудрявська, 18/2",Комунальна,1874
Київський університет права Національної академії наук України,,23745145,Бошицький Юрій Ладиславович,kul@kul.kiev.ua,(044) 4243335; 4522864,01001,"вул. Трьохсвятительська, 4",Державна,1995
"Київський університет туризму, економіки і права",,22915220,Фоменко Надія Андріївна,info@kutep.ua,(044) 5438658; 5439352,02192,"вул. Генерала Жмаченка, 26",Приватна,1995
"Київський фаховий коледж Приватного вищого навчального закладу ""Університет сучасних знань""",281,39679655,Швидченко Світлана Романівна,sekretariat@umk.edu.ua,(044) 2298971,03150,"вул. Велика Васильківська, 57/3",Приватна,2011
"Коледж Вищого навчального закладу ""Київський університет ринкових відносин""",866,38196754,Ланіна Оксана Віталіївна,rectorat@kumr.edu.ua,0442944021,02152,"вул. Березняківська, 26-Б",Приватна,2009
"Коледж ""Слов'яно-грецький колегіум"" Приватного акціонерного товариства ""Вищий навчальний заклад Київський славістичний університет""",139,26345400,Буратевич Зоя Іванівна,rectorat_ksu@ukr.net,(044) 2689407; 4648277; 4193133; 4193217,03150,"вул. Мате Залки, 10-Г",Приватна,2003
"""Коледж Української академії перукарської майстерності та декоративної косметики Київського університету культури""",310,39686826,Левчук Яна Миколаївна,kuk_kiev@ukr.net,(044) 2850317; 2846404; 2850317,01133,"вул. Євгена Коновальця, 36 Б",Приватна,2010
"Коледж хореографічного мистецтва ""Київська муніципальна академія танцю імені Сержа Лифаря""",,30382088,Коломієць Вячеслав Анатолійович,INFO@dance-academy.com.ua,(044) 5308757; 5354425,02232,"вул. Данькевича, 4-А",Комунальна,2001
"Комунальний заклад вищої освіти Київської обласної ради ""Академія мистецтв імені Павла Чубинського""",,02214938,Романчишин Василь Григорович,koukim@ukr.net,(044) 2807692; 2907692; 2544246,01015,"вул. Івана Мазепи, 15",Комунальна,1930
Луганська державна академія культури і мистецтв,,26204964,Юдов Микола Олександрович,ldakm@i.ua,"+38 (044) 222-51-85, +38 (097) 979-69-00, +38 (099) 069-76-73",01601,"вул. Івана Франка, 19",Державна,2002
Маріупольська філія Національної академії образотворчого мистецтва і архітектури,297,43033706,Батичко Галина Іванівна,,+306(29)-484-03-2,04053,"вул. Вознесенський узвіз, 20",Державна,
Маріупольський державний університет,,26593428,Трофименко Микола Валерійович,info@mdu.in.ua,(0629) 58-70-52,03037,"просп. Повітрофлотський, 31",Державна,1991
"Муніципальний заклад вищої освіти ""Київська Академія мистецтв""",,21594647,Бенч Ольга Григорівна,academy@kam.edu.ua,"(044) 4109310, 4647356",04210,"просп. Героїв Сталінграда, 10",Комунальна,1994
Національна академія внутрішніх справ,,08751177,Чернєй Володимир Васильович,post@naiau.kiev.ua,"(044)249-09-22, 245-94-91",03035,"пл. Солом'янська, 1",Державна,1921
Національна академія керівних кадрів культури і мистецтв,,02214142,Копієвська Ольга Рафаілівна,akademiya@nakkkim.edu.ua,"(044) 288 80 81, 280 22 82",01015,"вул. Лаврська, 9, корпус 15",Державна,1970
Національна академія образотворчого мистецтва і архітектури,,02214165,Цугорка Олександр Петрович,naoma@naoma.edu.ua,+38(044)272-15-40,04053,"вул. Вознесенський узвіз, 20",Державна,1917
Національна академія Служби безпеки України,,20001823,Черняк Андрій Миколайович,academy@ssu.gov.ua,"(044) 2573035, 2570096, 2555001",03022,"вул. Михайла Максимовича, 22",Державна,1992
"Національна академія статистики, обліку та аудиту",,04837462,Осауленко Олександр Григорович,info@nasoa.edu.ua,"(044) 484 49 41, (044) 484 47 78",04107,"вул. Підгірна, 1",Державна,1986
Національна музична академія України імені П.І. Чайковського,,02214188,Тимошенко Максим Олегович,cancelyariya@knmau.соm.ua.,(044)279-07-92,01001,"вул. Городецького, 1-3/11",Державна,1913
Національний авіаційний університет,,01132330,Луцький Максим Георгійович,post@nau.edu.ua,"(044) 497-41-05, 406-70-38, 497-51-51, 408-30-27",03058,"просп. Гузара Любомира, 1",Державна,1933
Національний медичний університет імені О.О. Богомольця,,02010787,Кучин Юрій Леонідович,kancnmu@nmu.ua,(044) 2344062; 2349276; 2357391,01601,"бульв. Тараса Шевченка, 13",Державна,1841
Національний педагогічний університет імені М.П. Драгоманова,,02125295,Андрущенко Віктор Петрович,pk@npu.edu.ua,(044)2393031,01030,"вул. Пирогова, 9",Державна,1834
Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,,02070921,Згуровський Михайло Захарович,mail@kpi.ua,(063) 743-47-57,03056,"просп. Перемоги, 37",Державна,1898
Національний транспортний університет,,02070915,Дмитриченко Микола Федорович,general@ntu.edu.ua,+38(044) 280 82 03,01010,"вул. Омеляновича-Павленка, 1",Державна,1944
Національний університет біоресурсів і природокористування України,,00493706,Ніколаєнко Станіслав Миколайович,rectorat@nubip.edu.ua,"(044) 5278242, 2584263",03041,"вул. Героїв оборони, 15",Державна,1954
"Національний університет ""Києво-Могилянська академія""",,16459396,Квіт Сергій Миронович,vkd@ukma.edu.ua,"(044) 463-70-67, 425-60-59, 463-67-83",04070,"вул. Григорія Сковороди, 2",Державна,1991
Національний університет оборони України імені Івана Черняховського,,07834530,Сиротенко Анатолій Миколайович,info@nuou.org.ua,"044 248 10 77, 248 10 76",03049,"просп. Повітрофлотський, 28",Державна,2000
Національний університет охорони здоров’я України імені П. Л. Шупика,,01896702,Вороненко Юрій Васильович,office@nuozu.edu.ua,"(044) 205-48-27, 205-49-46",04112,"вул. Дорогожицька, 9",Державна,2006
Національний університет фізичного виховання і спорту України,,02928433,Імас Євгеній Вікторович,rectorat@uni-sport.edu.ua,+380(44)-287-61-91,03150,"вул. Фізкультури, 1",Державна,1930
Національний університет харчових технологій,,02070938,Шевченко Олександр Юхимович,info@nuft.edu.ua,+38(044) 289-95-55,01033,"вул. Володимирська, 68",Державна,1930
"Приватна установа ""Університет ""Київська школа економіки""",,40762332,Верченко Олеся Петрівна,infovnz@kse.org.ua,492-80-12,03113,"вул. Шпака Миколи, 3",Приватна,2016
"Приватне акціонерне товариство «Українсько-Польський вищий навчальний заклад ""Центрально-Європейський університет»",,23169003,Шепелюк Олександр Юрійович,referent.ceu.info@gmail.com,"+38 044 278-24-73, +38 044 278-18-92, +38 044 278-84-92",03680,"вул. Рейтарська,, 19а",Приватна,1995
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Київський міжгалузевий інститут підвищення кваліфікації""",,00284017,Шевченко Станіслав Іванович,kmipksh@i.kiev.ua,+380(44)-484-19-31,01135,"вул. Дмитрівська, 71",Приватна,1994
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",,00127522,Щокін Ростислав Георгійович,iapm@iapm.edu.ua,"490-95-00, 490-95-05",03039,"вул. Фрометівська, 2",Приватна,1989
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Національна академія управління""",,16476880,Єрохін Сергій Аркадійович,office@nam.kiev.ua,(044) 242 24 46; (044) 242 24 64,03148,"вул. Гната Юри, 9",Приватна,1992
"Приватний вищий навчальний заклад ""Деснянський економіко-правовий коледж при Міжрегіональній Академії управління персоналом""",,32591166,Яровой Володимир Ілліч,desn_ept@ukr.net,5156163,02217,"вул. Миколи Закревського, 45-Б",Приватна,2003
"Приватний вищий навчальний заклад ""Економіко-правовий технікум при Міжрегіональній Академії управління персоналом""",,31745018,Швець Катерина Павлівна,ept_maup@ukr.net,044 2582124,03039,"просп. Червонозоряний, 146",Приватна,2000
"Приватний вищий навчальний заклад ""Європейський університет""",,24366800,Тимошенко Олена Іванівна,office@e-u.in.ua.,(044) 4506490; 4509931; 4240544; 4523568,03115,"бульв. Академіка Вернадського, 16-в",Приватна,1991
"Приватний вищий навчальний заклад ""Інститут екології економіки і права""",,33155797,Нікандров Олександр Всеволодович,ieep@ukr.net,"(044) 486-0763, 234-1108",01054,"вул. Тургенєвська, 11",Приватна,2004
"Приватний вищий навчальний заклад ""Київський коледж бізнесу""",,30400122,Перова Вікторія Вікторівна,kkb@kcbiz.kiev.ua,560-22-21,03151,"вул. Народного ополчення, 7, кв. 116-117",Приватна,2000
"ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КИЇВСЬКИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ""",,16478809,Поканевич Олександр Валерійович,info@kmu.edu.ua,"+38 (044) 567-29-29, +38 (044) 234-99-92",02099,"вул. Бориспільська, 2",Приватна,1992
